DESCRIPTION,CATEGORY,SUBCATEGORY,cat_label,subcat_label
insurance,Insurance,Insurance,12,38
fine for no licence,Miscellaneous,Penalties,13,50
paid income tax,Taxes,Income Tax,22,37
game pass,Entertainment,Games,4,28
cab form a to b,Transport,Public Transport,23,54
monthly water bill,Utilities,Water,26,79
fomal pants ,Shopping,Clothing,19,11
cab to office ,Business,Travel,2,75
Refilled the fragrance tool on the workspace ,Business,Supplies,2,71
Monthly payment ,Housing,Mortgage,11,45
Jeweller EMI,Savings & Investments,Gold,18,31
formla socks,Shopping,Footwear,19,25
BGMI coins,Entertainment,Games,4,28
Helped to NGO,Gifts & Donations,Religious Donations,8,55
food for rocky,Pet Care,Pet,16,51
Ring emi,Savings & Investments,Gold,18,31
Wedding gift to BF,Gifts,Wedding Gifts,7,80
Savings acc ,Savings & Investments,Gold,18,31
Flowers to kalash on his weddiing,Gifts,Wedding Gifts,7,80
general train ticket,Transport,Public Transport,23,54
Lost money,Miscellaneous,Uncategorized,13,77
School Fee payment,Education,School Fees,3,62
goverment tax,Taxes,Service Tax,22,63
facial ,Beauty & Wellness,Salon,1,60
Doctor charges ,Healthcare,Doctor Visit,9,15
Jwellery savings,Savings & Investments,Gold,18,31
Movie ticket,Entertainment,Events,4,20
Purchased Atomic habits,Education,Books,3,5
Amazon Giftcard,Gifts,Wedding Gifts,7,80
Income tax charges ,Taxes,Income Tax,22,37
Phone recharge ,Utilities,Internet,26,39
Earbuds lost,Miscellaneous,Lost Item,13,40
bulb,Utilities,Electricity,26,18
Hotstar premium,Entertainment,Streaming,4,70
cab to workplace,Business,Travel,2,75
purchased a belt,Shopping,Accessories,19,0
Replaced a name board ,Housing,Repairs,11,57
tax charges ,Taxes,Sales Tax,22,59
Illness consultancy,Healthcare,Doctor Visit,9,15
bought fairness cream for myself,Personal Care,Cosmetics,15,12
bought food for my pet,Pets,Food,17,24
invested in stocks,Savings & Investments,Stocks,18,69
lunch with client,Food,Lunch,5,41
Purchased online courses,Education,Online Courses,3,49
Magazines payment on Amazon,Subscriptions,Magazines,21,42
breakfast in cafe,Food,Cafes,5,7
water tap repair in house,Housing,Repairs,11,57
Paid internet bill ,Utilities,Internet,26,39
health insurance premium,Insurance,Health Insurance,12,35
Bought chips,Food,Snacks,5,64
Lost my water bottle,Miscellaneous,Lost Item,13,40
bought stock of adani power,Savings & Investments,Stocks,18,69
gift for friend wedding,Gifts,Wedding Gifts,7,80
business related travel,Business,Travel,2,75
bought face wash for myself,Personal Care,Cosmetics,15,12
Deposit in savings account,Banking,Savings Account,0,61
bought clothes from myntra,Shopping,Clothing,19,11
bought lunch from Mcdonald,Food,Lunch,5,41
paid Penalty,Miscellaneous,Penalties,13,50
travelled from mumbai to delhi by Airplane,Travel,Air Travel,25,2
bought gold for wife,Savings & Investments,Gold,18,31
shoes for college,Shopping,Footwear,19,25
Sunday magazine from The Hindu,Subscriptions,Magazines,21,42
Purchased AWS course,Education,Online Courses,3,49
paid car insurance premium,Insurance,Car Insurance,12,8
invested in gold coins,Savings & Investments,Gold,18,31
regular dental care ,Healthcare,Dental,9,13
lipstick for myself,Personal Care,Cosmetics,15,12
had dinner with family,Food,Restaurants,5,58
health insurance premium,Insurance,Insurance,12,38
purchased Gold biscuits,Savings & Investments,Gold,18,31
tooth extract from dentist,Healthcare,Dental,9,13
penalty paid to police,Miscellaneous,Penalties,13,50
tution fee,Miscellaneous,Fees,13,22
bought stationary for college,Education,Stationery,3,68
pedegree food for my dog,Pets,Food,17,24
spotify subscription renewal,Subscriptions,Spotify,21,67
transfer to savings account,Banking,Savings Account,0,61
paid for prime video subscription,Entertainment,Streaming,4,70
had a haircut,Beauty & Wellness,Salon,1,60
petrol fuel in bike,Transportation,Fuel,24,26
bought a metro pass ,Transport,Public Transport,23,54
Bought a travel insurance for Air travel,Insurance,Travel Insurance,12,76
regular pet dog health checkup,Pet Care,Vet,16,78
had dinner with client,Food,Lunch,5,41
bought trimmer for myself,Shopping,Accessories,19,0
house rent,Housing,Rent,11,56
miscellaneous things,Miscellaneous,Uncategorized,13,77
bought shoes for myself,Shopping,Footwear,19,25
plumbing repair in house,Housing,Repairs,11,57
bought books for college,Education,Stationery,3,68
had a spa at salon,Beauty & Wellness,Spa,1,66
business related travel,Business,Travel,2,75
"pencil, pen, scale, eraser for school",Education,Stationery,3,68
donated one lakh rupees in charity,Gifts & Donations,Religious Donations,8,55
invested in stocks,Savings & Investments,Stocks,18,69
public transport usage,Transport,Public Transport,23,54
repaired old sofa,Home Improvement,Furnishing,10,27
I dont know,Miscellaneous,Uncategorized,13,77
took taxi to reach college,Transport,Taxi,23,72
invested in gold for future,Savings & Investments,Gold,18,31
taken insurance for myself,Insurance,Insurance,12,38
bought air conditioner for bedroom,Shopping,Electronics,19,19
paid service tax,Taxes,Service Tax,22,63
took taxi to reach home,Transport,Taxi,23,72
took travel insurance from xyz website,Insurance,Travel Insurance,12,76
took flight from delhi to jaipur,Travel,Air Travel,25,2
bought toys for my pet,Pets,Toys,17,74
bought a new tea table,Home Improvement,Furnishing,10,27
travelled form kochi to srinagar by flight,Travel,Air Travel,25,2
bought regular cloths from amazon,Shopping,Clothing,19,11
paid income tax for year 2024,Taxes,Income Tax,22,37
subcribed spotify,Subscriptions,Spotify,21,67
had lunch in office,Food,Lunch,5,41
Purchased a tableau software subscription for college project,Subscriptions,Software,21,65
took insurance for bike,Insurance,Insurance,12,38
took music subscription,Subscriptions,Spotify,21,67
I lost my shoes,Miscellaneous,Lost Item,13,40
school fees for this month,Education,School Fees,3,62
bought food for my pet,Pets,Food,17,24
bought new bed for bedroom,Home Improvement,Furnishing,10,27
paid fees for something,Miscellaneous,Fees,13,22
subscribed to netflix,Subscriptions,Netflix,21,48
monthly groceries,Food,Groceries,5,32
paid fine for overspeeding,Miscellaneous,Penalties,13,50
for something,Miscellaneous,Uncategorized,13,77
regular dental checkup ,Healthcare,Dental,9,13
bought hair removal cream for myself,Personal Care,Cosmetics,15,12
bought books for tution ,Education,Stationery,3,68
paid service tax for year 2022,Taxes,Service Tax,22,63
donated five lakh rupees in government school,Gifts & Donations,Religious Donations,8,55
paid fees for something,Miscellaneous,Fees,13,22
groceries for 10 days,Food,Groceries,5,32
ticket for music event,Entertainment,Events,4,20
bought subscription for streaming platform,Entertainment,Streaming,4,70
had a tooth cleaning from a dentist,Healthcare,Dental,9,13
bought subscription of power bi for personal use,Subscriptions,Software,21,65
purchased subscription of some streaming platform,Entertainment,Streaming,4,70
went to see a movie ,Entertainment,Movies,4,46
had a spa at salon,Beauty & Wellness,Spa,1,66
purchased a wedding gift,Gifts,Wedding Gifts,7,80
lost item,Miscellaneous,Lost Item,13,40
groomed my dog pet,Pets,Grooming,17,33
bought a new trimmer ,Personal Care,Cosmetics,15,12
purchased a gym subcription,Personal Care,Gym,15,34
bought food for my new puppy,Pets,Food,17,24
purchased a alt balaji subcription for the first time,Entertainment,Streaming,4,70
bought a new phone,Shopping,Electronics,19,19
brother wedding gift,Gifts,Wedding Gifts,7,80
regualr pet checkup,Pet Care,Vet,16,78
paid elcticity bill for August month,Utilities,Electricity,26,18
applied a tooth cap from dentist,Healthcare,Dental,9,13
bought a new online course for personal growth,Education,Online Courses,3,49
took my puppy for regular doctor checkup,Pet Care,Vet,16,78
netflix subscription,Streaming Services,Netflix,20,48
purchased fan for hall in my house,Home Improvement,Furnishing,10,27
bought insurance for my family,Insurance,Insurance,12,38
spent for business advertisment,Business,Advertising,2,1
bought a hair serum for personal care,Personal Care,Cosmetics,15,12
paid service tax for month april,Taxes,Service Tax,22,63
sneakers for my sister,Shopping,Footwear,19,25
music subscription,Subscriptions,Spotify,21,67
water bills for month march,Utilities,Water,26,79
had lunch in cafe,Food,Lunch,5,41
college books,Education,Books,3,5
paid service tax,Taxes,Service Tax,22,63
took travel insurance,Insurance,Travel Insurance,12,76
electricity bill,Utilities,Electricity,26,18
invested in mutual funds,Savings & Investments,Mutual Funds,18,47
books for college,Education,Books,3,5
birthday gift for my girlfriend,Gifts,Birthday Gifts,7,4
entertainment stuff,Entertainment,Streaming,4,70
books for education,Education,Books,3,5
had lunch in restaurant,Food,Restaurants,5,58
house repairing things,Housing,Mortgage,11,45
paid property tax for month january,Taxes,Property Tax,22,53
dental care,Healthcare,Dental,9,13
bought a couch for house,Home Improvement,Furnishing,10,27
paid installment of house mortgage,Housing,Mortgage,11,45
bought Netflix subscription,Subscriptions,Netflix,21,48
bought ingame purchase ina game,Entertainment,Games,4,28
bought earphone for brother,Shopping,Electronics,19,19
took car insurance,Insurance,Car Insurance,12,8
paid water bill,Utilities,Water,26,79
uesd taxi to reach college,Transport,Taxi,23,72
went to cafe to had lunch,Food,Cafes,5,7
travelled by Air India Flight,Travel,Air Travel,25,2
paid bill for internet,Utilities,Internet,26,39
purchased fairness cream for myself,Personal Care,Cosmetics,15,12
water bill ,Utilities,Water,26,79
dancing event,Entertainment,Events,4,20
cured cavity from dentist,Healthcare,Dental,9,13
paid service tax,Taxes,Service Tax,22,63
netflix recharge,Streaming Services,Netflix,20,48
taxi rent,Transport,Taxi,23,72
repairing house things,Housing,Repairs,11,57
paid income tax,Taxes,Income Tax,22,37
electricity bill for month February,Utilities,Electricity,26,18
personal care things,Personal Care,Cosmetics,15,12
birthday gift for my brother,Gifts,Birthday Gifts,7,4
fees of something,Miscellaneous,Fees,13,22
fine for signal break,Miscellaneous,Penalties,13,50
had lunch with family,Food,Lunch,5,41
bought video game,Entertainment,Games,4,28
chips for timepass,Food,Snacks,5,64
sales taxes ,Taxes,Sales Tax,22,59
had spa at salon,Personal Care,Spa,15,66
birthday gift for mom,Gifts,Birthday Gifts,7,4
